text,name,in_1764,in_1778,in_names_omitted,division,occupation_abbr,occupation,sect_abbr,sect,start_1,end_1,start_2,end_2,born,born_about,died,died_about,died_after,age,flourished,flourished_about,flourished_before,flourished_after,flourished_century,lived
Somers d. 1716. 64. L,Somers,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1652,1716,1652,1716,,,1716,FALSE,FALSE,64,,,,,,
"Somerset, Lord Protector, d. 1551","Somerset, Lord Protector,",FALSE,TRUE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,1521,1551,1481,1551,,,1551,FALSE,FALSE,,,,,,,
Sopater fl. 520 Cr,Sopater,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,500,530,470,550,,,,,,,520,FALSE,FALSE,FALSE,FALSE,
Sophocles d. 406 BC 91 P,Sophocles,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-496,-405,-496,-405,,,-405,FALSE,FALSE,91,,,,,,
Soranus Ephesius fl. 110 Ph,Soranus Ephesius,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,90,120,60,140,,,,,,,110,FALSE,FALSE,FALSE,FALSE,
Sosibius fl. 255 BC Cr,Sosibius,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,-274,-244,-304,-224,,,,,,,-254,FALSE,FALSE,FALSE,FALSE,
Sosigenes fl. 46 BC M,Sosigenes,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,-65,-35,-95,-15,,,,,,,-45,FALSE,FALSE,FALSE,FALSE,
Sostratus of Cnidus fl. 283 BC Ar,Sostratus of Cnidus,TRUE,TRUE,FALSE,Poets and Artists,Ar,Architect,,,-302,-272,-332,-252,,,,,,,-282,FALSE,FALSE,FALSE,FALSE,
Sotion fl. 204 BC Cr,Sotion,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,-223,-193,-253,-173,,,,,,,-203,FALSE,FALSE,FALSE,FALSE,
Sozomen d. ab. 450 H,Sozomen,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,420,450,380,450,,,450,TRUE,FALSE,,,,,,,
"Spanheim, Ez. d. 1710. 81 Cr","Spanheim, Ez.",TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1629,1710,1629,1710,,,1710,FALSE,FALSE,81,,,,,,
Spartacus d. 71 BC,Spartacus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-100,-70,-140,-70,,,-70,FALSE,FALSE,,,,,,,
Spartianus Ælius fl. 291 H,Spartianus Ælius,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,271,301,241,321,,,,,,,291,FALSE,FALSE,FALSE,FALSE,
Speed J. d. 1619 H,Speed J.,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1589,1619,1549,1619,,,1619,FALSE,FALSE,,,,,,,
"Spelman, Henry, d. 1641 Ant","Spelman, Henry,",TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",Ant,Antiquary,,,1611,1641,1571,1641,,,1641,FALSE,FALSE,,,,,,,
Spencer d. 1695. 63 Cr,Spencer,FALSE,TRUE,TRUE,Orators and Critics,Cr,Critic,,,1632,1695,1632,1695,,,1695,FALSE,FALSE,63,,,,,,
"Spencer Senior, d. 1325. 90","Spencer Senior,",FALSE,TRUE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,1235,1325,1235,1325,,,1325,FALSE,FALSE,90,,,,,,
Spenser d. 1598 P,Spenser,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1568,1598,1528,1598,,,1598,FALSE,FALSE,,,,,,,
Speusippus d. 339 BC H P. Ac,Speusippus,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,Ac,Academic,-368,-338,-408,-338,,,-338,FALSE,FALSE,,,,,,,
Spinoza d. 1678. 44 D,Spinoza,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1634,1678,1634,1678,,,1678,FALSE,FALSE,44,,,,,,
Spurinna d. af. 44 BC M,Spurinna,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,-63,-43,-103,-33,,,-43,FALSE,TRUE,,,,,,,
Stahl b. 1660 Chy,Stahl,TRUE,TRUE,FALSE,Mathematicians and Physicians,Chy,Chemist,,,1660,1690,1660,1720,1660,FALSE,,,,,,,,,,
Statius d. 91 P,Statius,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,61,91,21,91,,,91,FALSE,FALSE,,,,,,,
Steele d. 1729 ab. 53 P,Steele,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1676,1729,1676,1729,,,1729,FALSE,FALSE,,,,,,,
Stefano d. 1350. 48 Pa,Stefano,TRUE,TRUE,FALSE,Poets and Artists,Pa,Painter,,,1302,1350,1302,1350,,,1350,FALSE,FALSE,48,,,,,,
Stephanus Athen. fl. 630 Ph,Stephanus Athen.,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,610,640,580,660,,,,,,,630,FALSE,FALSE,FALSE,FALSE,
Stephanus Byzantinus fl. 5 or 6 Cent. Cr,Stephanus Byzantinus,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,480,510,450,530,,,,,,,500,FALSE,FALSE,FALSE,TRUE,
"Stephens, Henry, d. 1598. 70 Cr","Stephens, Henry,",TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1528,1598,1528,1598,,,1598,FALSE,FALSE,70,,,,,,
"Stephens, Robert, d. 1559. 66 Cr","Stephens, Robert,",TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1493,1559,1493,1559,,,1559,FALSE,FALSE,66,,,,,,
Sternhold d. 1549 P,Sternhold,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1519,1549,1479,1549,,,1549,FALSE,FALSE,,,,,,,
Stesichorus d. 556 BC P,Stesichorus,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-585,-555,-625,-555,,,-555,FALSE,FALSE,,,,,,,
"Stiborius, Andreas, fl. 1500 M","Stiborius, Andreas,",TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1480,1510,1450,1530,,,,,,,1500,FALSE,FALSE,FALSE,FALSE,
Stilicho d. 408 D,Stilicho,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,378,408,338,408,,,408,FALSE,FALSE,,,,,,,
Stillingfleet d. 1689. 63 D,Stillingfleet,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1626,1689,1626,1689,,,1689,FALSE,FALSE,63,,,,,,
Stilpo of Megara d. af. 294 BC H,Stilpo of Megara,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,-313,-293,-353,-283,,,-293,FALSE,TRUE,,,,,,,
Stobeus fl. 405 Cr,Stobeus,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,385,415,355,435,,,,,,,405,FALSE,FALSE,FALSE,FALSE,
Stœphlerus d. 1531. 77 M,Stœphlerus,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1454,1531,1454,1531,,,1531,FALSE,FALSE,77,,,,,,
"Stowe, John. d. 1605. 79 H","Stowe, John.",TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1526,1605,1526,1605,,,1605,FALSE,FALSE,79,,,,,,
